2026-09-22 12:58:26.563 +03:30 [WRN] The foreign key property 'Product.BrandId1' was created in shadow state because a conflicting property with the simple name 'BrandId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core. 
2026-09-22 12:58:26.587 +03:30 [WRN] The foreign key property 'Product.CategoryId1' was created in shadow state because a conflicting property with the simple name 'CategoryId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core. 
2026-09-22 12:58:27.401 +03:30 [INF] Storage directories are ready. ImagesPath: D:\porograming\Rider\AutoSpare\AutoSpare.Web\wwwroot\Uploads\Images, BackupPath: D:\AutoSpareBackups 
2026-09-22 13:01:55.608 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 3.5016 ms 
2026-09-22 13:01:55.608 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 0.3721 ms 
2026-09-22 13:01:55.608 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 4.4896 ms 
2026-09-22 13:01:55.609 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.0863 ms 
2026-09-22 13:01:55.608 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 3.1527 ms 
2026-09-22 13:01:55.663 +03:30 [INF] HTTP GET /not-found responded 404 in 1.0153 ms 
2026-09-22 13:01:55.691 +03:30 [INF] HTTP GET /favicon.png responded 304 in 0.1868 ms 
2026-09-22 13:02:00.102 +03:30 [INF] HTTP GET /login responded 200 in 1.7454 ms 
2026-09-22 13:02:00.124 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 1.2995 ms 
2026-09-22 13:02:00.124 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 0.1813 ms 
2026-09-22 13:02:00.124 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 0.5834 ms 
2026-09-22 13:02:00.127 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 3.6771 ms 
2026-09-22 13:02:00.127 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 2.7979 ms 
2026-09-22 13:02:00.127 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.0665 ms 
2026-09-22 13:02:00.129 +03:30 [INF] HTTP GET /not-found responded 404 in 1.8066 ms 
2026-09-22 13:02:07.633 +03:30 [INF] HTTP POST /api/auth/login responded 302 in 4.9219 ms 
2026-09-22 13:02:07.640 +03:30 [INF] HTTP GET /login responded 200 in 1.8026 ms 
2026-09-22 13:02:07.653 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.0188 ms 
2026-09-22 13:02:07.653 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 1.3422 ms 
2026-09-22 13:02:07.654 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 0.2020 ms 
2026-09-22 13:02:07.654 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 1.7696 ms 
2026-09-22 13:02:07.654 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 2.2691 ms 
2026-09-22 13:02:07.657 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 4.9478 ms 
2026-09-22 13:02:07.657 +03:30 [INF] HTTP GET /not-found responded 404 in 3.6045 ms 
2026-09-22 13:03:16.879 +03:30 [INF] HTTP POST /api/auth/login responded 302 in 216.2508 ms 
2026-09-22 13:03:16.885 +03:30 [INF] Home page loaded at "2026-09-22T13:03:16.8855896+03:30" 
2026-09-22 13:03:16.885 +03:30 [WRN] This is a test warning from Home page. 
2026-09-22 13:03:16.888 +03:30 [INF] HTTP GET / responded 200 in 3.6171 ms 
2026-09-22 13:03:16.898 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 1.2737 ms 
2026-09-22 13:03:16.899 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 1.5599 ms 
2026-09-22 13:03:16.899 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 0.4836 ms 
2026-09-22 13:03:16.899 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 1.4997 ms 
2026-09-22 13:03:16.900 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.1202 ms 
2026-09-22 13:03:16.901 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 1.4886 ms 
2026-09-22 13:03:16.902 +03:30 [INF] HTTP GET /not-found responded 404 in 2.3852 ms 
2026-09-22 13:03:22.824 +03:30 [INF] HTTP POST /Account/Logout responded 405 in 0.4182 ms 
2026-09-22 13:03:22.826 +03:30 [INF] HTTP POST /not-found responded 405 in 2.4826 ms 
2026-09-22 13:03:22.841 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 3.8114 ms 
2026-09-22 13:03:22.841 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 0.4390 ms 
2026-09-22 13:03:22.842 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.1450 ms 
2026-09-22 13:03:22.844 +03:30 [INF] HTTP GET /not-found responded 404 in 1.8546 ms 
2026-09-22 13:03:22.854 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 17.0420 ms 
2026-09-22 13:03:22.854 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 17.4306 ms 
2026-09-22 13:03:22.855 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 17.7621 ms 
2026-09-22 13:03:24.985 +03:30 [INF] HTTP POST /Account/Logout responded 405 in 0.3017 ms 
2026-09-22 13:03:24.987 +03:30 [INF] HTTP POST /not-found responded 405 in 1.4681 ms 
2026-09-22 13:03:25.000 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 0.8482 ms 
2026-09-22 13:03:25.000 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 0.8594 ms 
2026-09-22 13:03:25.000 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 1.0556 ms 
2026-09-22 13:03:25.000 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 0.3248 ms 
2026-09-22 13:03:25.001 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.2722 ms 
2026-09-22 13:03:25.001 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 2.3447 ms 
2026-09-22 13:03:25.003 +03:30 [INF] HTTP GET /not-found responded 404 in 1.8222 ms 
2026-09-22 13:03:28.386 +03:30 [INF] HTTP POST /Account/Logout responded 405 in 0.3249 ms 
2026-09-22 13:03:28.388 +03:30 [INF] HTTP POST /not-found responded 405 in 1.9233 ms 
2026-09-22 13:03:28.403 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 0.2697 ms 
2026-09-22 13:03:28.403 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 0.9944 ms 
2026-09-22 13:03:28.404 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 0.9020 ms 
2026-09-22 13:03:28.404 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 2.0355 ms 
2026-09-22 13:03:28.405 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 2.4969 ms 
2026-09-22 13:03:28.405 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.6064 ms 
2026-09-22 13:03:28.409 +03:30 [INF] HTTP GET /not-found responded 404 in 3.4815 ms 
2026-09-22 13:03:28.434 +03:30 [INF] HTTP GET /favicon.png responded 304 in 0.3900 ms 
2026-09-22 13:03:33.321 +03:30 [INF] Home page loaded at "2026-09-22T13:03:33.3210606+03:30" 
2026-09-22 13:03:33.321 +03:30 [WRN] This is a test warning from Home page. 
2026-09-22 13:03:33.322 +03:30 [INF] HTTP GET / responded 200 in 1.8309 ms 
2026-09-22 13:03:33.340 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 0.8529 ms 
2026-09-22 13:03:33.340 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 0.7127 ms 
2026-09-22 13:03:33.340 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 0.8530 ms 
2026-09-22 13:03:33.343 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 2.9787 ms 
2026-09-22 13:03:33.343 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 3.0906 ms 
2026-09-22 13:03:33.344 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 4.7090 ms 
2026-09-22 13:03:33.345 +03:30 [INF] HTTP GET /not-found responded 404 in 1.6095 ms 
2026-09-22 13:03:36.185 +03:30 [INF] HTTP GET /counter responded 200 in 35.1350 ms 
2026-09-22 13:03:36.203 +03:30 [INF] HTTP GET /_blazor/initializers responded 200 in 5.4161 ms 
2026-09-22 13:03:36.216 +03:30 [INF] HTTP POST /_blazor/negotiate responded 200 in 6.2478 ms 
2026-09-22 13:03:37.211 +03:30 [INF] HTTP GET /weather responded 200 in 519.1535 ms 
2026-09-22 13:03:38.039 +03:30 [INF] Home page loaded at "2026-09-22T13:03:38.0392563+03:30" 
2026-09-22 13:03:38.039 +03:30 [WRN] This is a test warning from Home page. 
2026-09-22 13:03:38.040 +03:30 [INF] HTTP GET / responded 200 in 1.6174 ms 
2026-09-22 13:03:39.278 +03:30 [INF] HTTP GET /_blazor responded 101 in 3054.3582 ms 
2026-09-22 13:03:39.298 +03:30 [INF] HTTP POST /_blazor/disconnect responded 200 in 30.6942 ms 
2026-09-22 13:28:47.796 +03:30 [WRN] The foreign key property 'Product.BrandId1' was created in shadow state because a conflicting property with the simple name 'BrandId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core. 
2026-09-22 13:28:47.824 +03:30 [WRN] The foreign key property 'Product.CategoryId1' was created in shadow state because a conflicting property with the simple name 'CategoryId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core. 
2026-09-22 13:28:48.507 +03:30 [INF] Storage directories are ready. ImagesPath: D:\porograming\Rider\AutoSpare\AutoSpare.Web\wwwroot\Uploads\Images, BackupPath: D:\AutoSpareBackups 
2026-09-22 13:28:48.805 +03:30 [INF] Home page loaded at "2026-09-22T13:28:48.8033305+03:30" 
2026-09-22 13:28:48.808 +03:30 [WRN] This is a test warning from Home page. 
2026-09-22 13:28:48.852 +03:30 [INF] HTTP GET / responded 200 in 124.9344 ms 
2026-09-22 13:28:48.882 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 5.8846 ms 
2026-09-22 13:28:48.884 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.8458 ms 
2026-09-22 13:28:48.890 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 12.0794 ms 
2026-09-22 13:28:48.890 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 14.3327 ms 
2026-09-22 13:28:48.890 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 10.7444 ms 
2026-09-22 13:28:48.895 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 12.4676 ms 
2026-09-22 13:28:48.933 +03:30 [INF] HTTP GET /not-found responded 404 in 16.7835 ms 
2026-09-22 13:31:06.594 +03:30 [INF] Home page loaded at "2026-09-22T13:31:06.5947220+03:30" 
2026-09-22 13:31:06.595 +03:30 [WRN] This is a test warning from Home page. 
2026-09-22 13:31:06.600 +03:30 [INF] HTTP GET / responded 200 in 21.1103 ms 
2026-09-22 13:31:06.654 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.1064 ms 
2026-09-22 13:31:06.655 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 1.3006 ms 
2026-09-22 13:31:06.659 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 3.0684 ms 
2026-09-22 13:31:06.657 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 2.8343 ms 
2026-09-22 13:31:06.662 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 5.9478 ms 
2026-09-22 13:31:06.666 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 200 in 10.0853 ms 
2026-09-22 13:31:06.672 +03:30 [INF] HTTP GET /not-found responded 404 in 9.0936 ms 
2026-09-22 13:31:07.607 +03:30 [INF] HTTP GET /favicon.png responded 200 in 4.0122 ms 
2026-09-22 13:31:08.543 +03:30 [INF] HTTP GET /Account/Login responded 404 in 0.2438 ms 
2026-09-22 13:31:08.546 +03:30 [INF] HTTP GET /not-found responded 404 in 2.3964 ms 
2026-09-22 13:31:16.688 +03:30 [INF] HTTP GET /Login responded 200 in 8.1749 ms 
2026-09-22 13:31:16.709 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 1.5807 ms 
2026-09-22 13:31:16.713 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.0664 ms 
2026-09-22 13:31:16.713 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 0.4840 ms 
2026-09-22 13:31:16.713 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 1.0488 ms 
2026-09-22 13:31:16.714 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 1.5157 ms 
2026-09-22 13:31:16.715 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 2.1827 ms 
2026-09-22 13:31:16.715 +03:30 [INF] HTTP GET /not-found responded 404 in 1.6416 ms 
2026-09-22 13:32:02.748 +03:30 [INF] HTTP POST /api/auth/login responded 302 in 292.3053 ms 
2026-09-22 13:32:02.754 +03:30 [INF] Home page loaded at "2026-09-22T13:32:02.7546781+03:30" 
